race_id,race_name,category,date_label,month,year
391,Baltic Chain Tour,2.2,20.08-23.08,8,2026
22,Bretagne Classic,1.UWT,30.08,8,2026
202,Circuito de Getxo,1.1,02.08,8,2026
15209,Czech Tour,2.Pro,13.08-16.08,8,2026
18,Donostia San Sebastian Klasikoa,1.UWT,01.08,8,2026
209,GP Kranj,1.1,30.08,8,2026
8328,GP Plouay Elite Open,1.2,30.08,8,2026
27616,Grand Prix Davraz,1.2,14.08,8,2026
27617,Grand Prix Gölcük,1.2,16.08,8,2026
27615,Grand Prix Isparta,1.2,09.08,8,2026
27608,Grand Prix Navoi,2.2,11.08-13.08,8,2026
27618,Grand Prix Rose,1.2,22.08,8,2026
18958,Grote Prijs Stad Halle,1.2,30.08,8,2026
385,Kreiz Breizh Elites,2.2,31.07-03.08,8,2026
36,Lidl Deutschland Tour,2.Pro,19.08-23.08,8,2026
265,Philly Cycling Classic,1.1,30.08,8,2026
203,Polynormande,1.1,16.08,8,2026
32,PostNord Tour of Denmark,2.Pro,29.07-02.08,8,2026
21,Renewi Tour,2.UWT,19.08-23.08,8,2026
8310,Ronde van de Achterhoek,1.2,30.08,8,2026
3239,Slag om Norg,1.2,23.08,8,2026
19,Tour de Pologne,2.UWT,03.08-09.08,8,2026
586,Tour de la Guadeloupe,2.2,31.07-09.08,8,2026
431,Tour do Rio,2.2,29.07-02.08,8,2026
191,Tour du Limousin,2.1,18.08-21.08,8,2026
187,Tour du Poitou-Charentes,2.1,25.08-28.08,8,2026
27610,Tour of Kahramanmaras,2.2,04.08-07.08,8,2026
27609,Tour of Samsun,2.2,27.08-30.08,8,2026
566,Tour of Szeklerland,2.2,06.08-08.08,8,2026
18951,Trans-Himalaya Cycling Race,2.1,02.08-06.08,8,2026
192,Vuelta a Burgos,2.Pro,04.08-08.08,8,2026
86,Vuelta a Colombia,2.2,07.08-16.08,8,2026
428,Arno Wallaard Memorial,1.2,12.09,9,2026
773,CRO Race,2.Pro,22.09-27.09,9,2026
160,Coppa Sabatini,1.Pro,10.09,9,2026
26819,Dhofar Classic,1.2,05.09,9,2026
445,GP Chantal Biya,2.2,02.09-06.09,9,2026
263,GP Industria & Artigianato,1.Pro,06.09,9,2026
58,GP Montreal,1.UWT,13.09,9,2026
59,GP Québec,1.UWT,11.09,9,2026
9979,GP Rik Van Looy,1.2,13.09,9,2026
171,GP d'Isbergues,1.1,20.09,9,2026
19038,GP d'Ongola,1.2,01.09,9,2026
92,GP de Fourmies,1.Pro,13.09,9,2026
166,GP de la Somme,1.2,06.09,9,2026
752,Giro d'Abruzzo,2.1,15.09-18.09,9,2026
88,Giro del Lazio,1.1,19.09,9,2026
538,Giro della Regione Friuli,2.2,03.09-06.09,9,2026
163,Giro della Romagna,1.1,20.09,9,2026
4025,Giro della Toscana,1.1,09.09,9,2026
444,Gooikse Pijl,1.1,20.09,9,2026
142,Grand Prix Cerami,1.2,26.09,9,2026
93,Grand Prix de Wallonie,1.Pro,16.09,9,2026
167,Kamp. van Vlaanderen,1.1,18.09,9,2026
13191,Maryland Cycling Classic,2.Pro,05.09-07.09,9,2026
68,Memorial Pantani,1.1,12.09,9,2026
401,Okolo Jiznich Cech,2.2,03.09-06.09,9,2026
380,Okolo Slovenska,2.1,16.09-20.09,9,2026
170,Omloop van het Houtland,1.1,23.09,9,2026
949,Paris-Chauny,1.1,27.09,9,2026
168,SUPER 8 Classic,1.Pro,19.09,9,2026
10173,Sauerlandrundfahrt,2.2,03.09-06.09,9,2026
27611,Tour d'Arménie,2.2,10.09-13.09,9,2026
255,Tour de Korea,2.1,31.08-04.09,9,2026
37,Tour de Luxembourg,2.Pro,16.09-20.09,9,2026
344,Tour de Serbie,2.2,17.09-20.09,9,2026
7767,Tour de la Mirabelle,1.2,25.09,9,2026
16539,Tour of Binzhou,2.1,08.09-09.09,9,2026
45,Tour of Britain,2.Pro,02.09-06.09,9,2026
955,Tour of Bulgaria,2.2,05.09-10.09,9,2026
20780,Tour of Huangshan,2.1,18.09-20.09,9,2026
20781,Tour of Istanbul,2.1,03.09-06.09,9,2026
9699,Tour of Kosovo,2.2,03.09-05.09,9,2026
25513,Tour of Mentougou,2.2,25.09-27.09,9,2026
4048,Tour of Poyang Lake,2.2,17.09-26.09,9,2026
16578,Tour of Salalah,2.2,06.09-09.09,9,2026
24779,Tour of Shanghai,2.2,04.09-06.09,9,2026
242,Tour of Taihu Lake,2.1,12.09-16.09,9,2026
205,Trofeo Matteotti,1.1,13.09,9,2026
